,state,district,date,confirmed,active,recovered,deceased,notes,fatality_rate,recovery_rate,ML,Low_90,High_90,Low_50,High_50
0,Maharashtra,Akola,2020-04-21,15,15,0,0,,0.0,0.0,0.0,0.0,10.81,0.0,6.01
1,Maharashtra,Akola,2020-04-22,16,15,0,1,,0.0625,0.0,0.08,0.0,4.39,0.0,2.04
2,Maharashtra,Akola,2020-04-23,21,20,0,1,,0.047619047619047616,0.0,1.0,0.0,3.49,0.0,1.6400000000000001
3,Maharashtra,Akola,2020-04-24,20,19,0,1,,0.05,0.0,1.0,0.0,3.0500000000000003,0.03,1.48
4,Maharashtra,Akola,2020-04-25,23,15,7,1,,0.043478260869565216,0.30434782608695654,1.47,0.0,3.08,0.6900000000000001,2.15
5,Maharashtra,Akola,2020-04-26,29,21,7,1,,0.034482758620689655,0.2413793103448276,1.35,0.0,2.75,0.59,1.8900000000000001
6,Maharashtra,Akola,2020-04-27,29,21,7,1,,0.034482758620689655,0.2413793103448276,1.28,0.0,2.54,0.58,1.77
7,Maharashtra,Akola,2020-04-28,34,25,8,1,,0.029411764705882353,0.23529411764705882,1.23,0.0,2.38,0.5700000000000001,1.68
8,Maharashtra,Akola,2020-04-29,39,30,8,1,,0.02564102564102564,0.20512820512820512,1.19,0.01,2.27,0.54,1.59
9,Maharashtra,Akola,2020-04-30,39,30,8,1,,0.02564102564102564,0.20512820512820512,1.33,0.06,2.34,0.77,1.78
10,Maharashtra,Akola,2020-05-01,39,30,8,1,,0.02564102564102564,0.20512820512820512,1.42,0.2,2.42,0.8300000000000001,1.79
11,Maharashtra,Akola,2020-05-02,49,40,8,1,,0.02040816326530612,0.16326530612244897,1.36,0.24,2.32,0.85,1.74
12,Maharashtra,Akola,2020-05-03,62,48,13,1,,0.016129032258064516,0.20967741935483872,1.41,0.34,2.33,0.91,1.75
13,Maharashtra,Akola,2020-05-04,62,48,13,1,,0.016129032258064516,0.20967741935483872,1.52,0.5,2.38,1.06,1.84
14,Maharashtra,Akola,2020-05-05,63,44,13,6,,0.09523809523809523,0.20634920634920634,1.59,0.67,2.4,1.1300000000000001,1.85
15,Maharashtra,Akola,2020-05-06,83,60,14,9,,0.10843373493975904,0.1686746987951807,1.67,0.81,2.39,1.28,1.93
16,Maharashtra,Akola,2020-05-07,99,64,25,10,,0.10101010101010101,0.25252525252525254,1.7,0.9400000000000001,2.37,1.34,1.93
17,Maharashtra,Akola,2020-05-08,121,85,26,10,,0.08264462809917356,0.21487603305785125,1.62,0.93,2.24,1.3,1.84
18,Maharashtra,Akola,2020-05-09,143,106,26,11,,0.07692307692307693,0.18181818181818182,1.49,0.8200000000000001,2.05,1.16,1.67
19,Maharashtra,Akola,2020-05-10,159,122,26,11,,0.06918238993710692,0.16352201257861634,1.3900000000000001,0.78,1.94,1.1,1.58
20,Maharashtra,Akola,2020-05-11,162,137,14,11,,0.06790123456790123,0.08641975308641975,1.32,0.75,1.86,1.04,1.5
21,Maharashtra,Akola,2020-05-12,169,143,14,12,,0.07100591715976332,0.08284023668639054,1.26,0.67,1.75,1.02,1.46
22,Maharashtra,Akola,2020-05-13,192,166,14,12,,0.0625,0.07291666666666667,1.27,0.71,1.75,1.0,1.43
23,Maharashtra,Akola,2020-05-14,208,141,55,12,,0.057692307692307696,0.2644230769230769,1.29,0.77,1.77,1.07,1.48
24,Maharashtra,Akola,2020-05-15,226,152,60,14,,0.061946902654867256,0.26548672566371684,1.28,0.76,1.73,1.04,1.44
25,Maharashtra,Akola,2020-05-16,236,151,71,14,,0.059322033898305086,0.3008474576271186,1.24,0.74,1.68,0.99,1.3800000000000001
26,Maharashtra,Akola,2020-05-17,269,182,73,14,,0.05204460966542751,0.27137546468401486,1.22,0.72,1.6400000000000001,0.98,1.36
27,Maharashtra,Akola,2020-05-18,274,147,113,14,,0.051094890510948905,0.4124087591240876,1.22,0.73,1.6300000000000001,0.99,1.36
28,Maharashtra,Akola,2020-05-19,274,147,113,14,,0.051094890510948905,0.4124087591240876,1.24,0.79,1.6600000000000001,1.02,1.3800000000000001
29,Maharashtra,Akola,2020-05-20,310,176,117,17,,0.054838709677419356,0.3774193548387097,1.25,0.8,1.6500000000000001,1.04,1.3900000000000001
30,Maharashtra,Akola,2020-05-21,344,207,120,17,,0.04941860465116279,0.3488372093023256,1.25,0.8,1.6300000000000001,1.05,1.3900000000000001
31,Maharashtra,Akola,2020-05-22,367,227,123,17,,0.04632152588555858,0.335149863760218,1.23,0.79,1.6,1.05,1.3800000000000001
32,Maharashtra,Akola,2020-05-23,373,226,130,17,,0.045576407506702415,0.3485254691689008,1.21,0.79,1.58,0.99,1.32
33,Maharashtra,Akola,2020-05-24,402,225,160,17,,0.04228855721393035,0.39800995024875624,1.19,0.76,1.54,1.0,1.32
34,Maharashtra,Akola,2020-05-25,420,243,160,17,,0.04047619047619048,0.38095238095238093,1.22,0.81,1.57,1.0,1.32
